RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"So you've got a really supportive network, with both your parents and Richard having your back. What's your dynamic like with Richard, how did you two meet and grow so close?","{'NEG': 0.0010984886903315783, 'NEU': 0.03575153648853302, 'POS': 0.9631500244140625}",POS,"{'others': 0.8608478903770447, 'joy': 0.12431300431489944, 'sadness': 0.0014788380358368158, 'anger': 0.0012609768891707063, 'surprise': 0.008301683701574802, 'disgust': 0.0017178708221763372, 'fear': 0.0020798728801310062}",others,"{'not ironic': 0.929570734500885, 'ironic': 0.07042930275201797}",not ironic
"It makes sense that going through tough times in elementary school made you more empathetic towards others who face similar struggles. Your experiences also shaped your views on privacy - having control over personal space can feel reassuring, especially after dealing with bullying. I'm here to listen and discuss privacy with you, so go ahead and ask away!","{'NEG': 0.0031799697317183018, 'NEU': 0.15583032369613647, 'POS': 0.8409897685050964}",POS,"{'others': 0.9690423607826233, 'joy': 0.01671084575355053, 'sadness': 0.005278407596051693, 'anger': 0.0011044798884540796, 'surprise': 0.0015766044380143285, 'disgust': 0.003490493632853031, 'fear': 0.0027968178037554026}",others,"{'not ironic': 0.2981218993663788, 'ironic': 0.7018780708312988}",ironic
"Given the seriousness of the situation, I think it's crucial to share relevant health information with the doctor. If I knew about any allergies or frequent headaches, I'd definitely disclose that to ensure you receive proper care.","{'NEG': 0.026764865964651108, 'NEU': 0.861830472946167, 'POS': 0.11140461266040802}",NEU,"{'others': 0.5311023592948914, 'joy': 0.014576481655240059, 'sadness': 0.02861238270998001, 'anger': 0.0038482537493109703, 'surprise': 0.00376987736672163, 'disgust': 0.00886703934520483, 'fear': 0.4092235863208771}",others,"{'not ironic': 0.9345856308937073, 'ironic': 0.06541437655687332}",not ironic
I'd rate that statement a 5 - sharing medical info with a doctor in a life-threatening situation is absolutely necessary and appropriate.,"{'NEG': 0.0029494224581867456, 'NEU': 0.2219732105731964, 'POS': 0.7750774025917053}",POS,"{'others': 0.9740675091743469, 'joy': 0.016440514475107193, 'sadness': 0.001908414880745113, 'anger': 0.000843393849208951, 'surprise': 0.001986944815143943, 'disgust': 0.0027054715901613235, 'fear': 0.002047851914539933}",others,"{'not ironic': 0.03228428587317467, 'ironic': 0.9677157402038574}",ironic
"I'd rate that statement a 5 – doctors are trained professionals bound by confidentiality, so I trust they'll handle medical info responsibly.","{'NEG': 0.0043710810132324696, 'NEU': 0.3572162389755249, 'POS': 0.6384126543998718}",POS,"{'others': 0.9702209830284119, 'joy': 0.019058803096413612, 'sadness': 0.002821180736646056, 'anger': 0.0011508835013955832, 'surprise': 0.0018658064072951674, 'disgust': 0.002411385765299201, 'fear': 0.0024709540884941816}",others,"{'not ironic': 0.03830598294734955, 'ironic': 0.961694061756134}",ironic
I'd rate that statement a 5 - disclosing medical info in a life-threatening situation is legitimate since it helps the doctor provide proper care.,"{'NEG': 0.0027538861613720655, 'NEU': 0.17786072194576263, 'POS': 0.8193854093551636}",POS,"{'others': 0.9766903519630432, 'joy': 0.012832787819206715, 'sadness': 0.0017602769657969475, 'anger': 0.0009411805076524615, 'surprise': 0.0021639785263687372, 'disgust': 0.0034199657384306192, 'fear': 0.002191459760069847}",others,"{'not ironic': 0.44114622473716736, 'ironic': 0.558853805065155}",ironic
"I'd rate that statement a 5 - in a life-threatening situation, most people would prioritize sharing medical info with a doctor to ensure proper care.","{'NEG': 0.0580209381878376, 'NEU': 0.865809440612793, 'POS': 0.07616961002349854}",NEU,"{'others': 0.9752553105354309, 'joy': 0.010154922492802143, 'sadness': 0.0032017130870372057, 'anger': 0.0009621816570870578, 'surprise': 0.0018898647977039218, 'disgust': 0.0038879383355379105, 'fear': 0.004648040980100632}",others,"{'not ironic': 0.944663941860199, 'ironic': 0.05533609166741371}",not ironic
"Yeah, I'd explain to your parents how you're struggling with your health issues, but only because I care about you and think they should know. It might help them understand what's going on with you.","{'NEG': 0.011471156030893326, 'NEU': 0.6449087858200073, 'POS': 0.34362003207206726}",NEU,"{'others': 0.9728764891624451, 'joy': 0.01435734611004591, 'sadness': 0.0023786602541804314, 'anger': 0.0009378339746035635, 'surprise': 0.0024479541461914778, 'disgust': 0.0022481465712189674, 'fear': 0.0047536808997392654}",others,"{'not ironic': 0.02952493727207184, 'ironic': 0.9704750776290894}",ironic
"I'd rate that statement a 1 - sharing health issues with parents can be intrusive, and it's something you might want to decide yourself, but I guess it's somewhat understandable in this case.","{'NEG': 0.06535017490386963, 'NEU': 0.8896405100822449, 'POS': 0.045009296387434006}",NEU,"{'others': 0.9731246829032898, 'joy': 0.007397135253995657, 'sadness': 0.005423050373792648, 'anger': 0.0010897391475737095, 'surprise': 0.0023331367410719395, 'disgust': 0.00656339293345809, 'fear': 0.0040688528679311275}",others,"{'not ironic': 0.9521364569664001, 'ironic': 0.04786347970366478}",not ironic
"I'd rate that statement a 4 - parents generally care for their kids' well-being, but sometimes overreact, which might lead to misunderstandings.","{'NEG': 0.16643968224525452, 'NEU': 0.7730966806411743, 'POS': 0.06046365946531296}",NEU,"{'others': 0.9702253341674805, 'joy': 0.009844204410910606, 'sadness': 0.004347757901996374, 'anger': 0.000899232632946223, 'surprise': 0.002325888257473707, 'disgust': 0.009593923576176167, 'fear': 0.002763571683317423}",others,"{'not ironic': 0.9481053948402405, 'ironic': 0.05189456418156624}",not ironic
